Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult Arrest,2021,1/1/21,2,bf15ff4baa6e0371509a877669eff1a2c5c987f9,404576e04d224c23d555be0ee1ab304d56330add,35,NA,,BLACK,UNKNOWN,MALE,Other Crimes,"Stalking, Threatening, Assaulting And Kidnapping Govt Official Family Member (kidnapping/abduction)",207,2D,397000,137100,38.902,-77.035,102,1D,398600,136300,38.894,-77.017
Adult Arrest,2021,1/1/21,2,b580f141d4c39606ac6b1915131e2000d911f24a,7f7bee12186e7ea7f3b7335c9c46b0ca7693aac3,33,107,1D,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence -2nd Off,702,7D,402800,132100,38.857,-76.967,702,7D,402800,132100,38.857,-76.967
Adult Arrest,2021,1/1/21,2,79b179f96be1eb5aad0ecbd06451c428c427bae3,7bfeb5ca19e83055a670296af4b6036c9570e1a2,31,708,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,708,7D,399900,128400,38.823,-77.001,708,7D,399900,128400,38.823,-77.001
Adult Arrest,2021,1/1/21,2,e12bee6ee4da821f45321fa80b0c291314da295d,a7a9a0eb05bfa827afbc9fd065d8337546befdd1,59,NA,,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,502,5D,399400,138800,38.917,-77.007,502,5D,399400,138800,38.917,-77.007
Adult Arrest,2021,1/1/21,3,ecc0a5a189d9ba1a901dc1c05d36f8e3613c29d3,d613714645592ba2ecccf2d87db5ec00d5a35403,46,701,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Permit Revoked-oar,704,7D,402000,131400,38.85,-76.977,704,7D,401800,131100,38.848,-76.979
Adult Arrest,2021,1/1/21,3,30080051cad5b5a29dd7cfaa95bba74d03197b9f,96150ef3e47f2d8085cdb7c0091d4ff7d29e465a,22,102,1D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,102,1D,399200,137500,38.905,-77.009,102,1D,399200,137500,38.905,-77.009
Adult Arrest,2021,1/1/21,3,47048fd06ecda9ddb030c7c78f65ce603153f4fb,cba1d4a798ac8ac856263aa8aa7368b5353ad03f,31,405,4D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,501,5D,399300,137700,38.907,-77.008,503,5D,402300,138600,38.915,-76.974
Adult Arrest,2021,1/1/21,3,3a028b4b0bfb3f4fecf65ef6bd23dabb2ee2dc6c,e5d7533f8a9c371e2a4761287e7bde3abef4a710,29,303,3D,WHITE,UNKNOWN,MALE,Simple Assault,Simple Assault,301,3D,397100,138800,38.917,-77.033,301,3D,397100,138800,38.917,-77.033
Adult Arrest,2021,1/1/21,4,3d863d824d9a8fd05825543783628aeb8cf159ee,2f70cdfd1c9c00c76295d0f2f6819886ff58a903,24,NA,,BLACK,UNKNOWN,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,406,4D,399700,143200,38.956,-77.003,406,4D,399700,143200,38.956,-77.003
Adult Arrest,2021,1/1/21,4,7420a7bf5f9512819d1e1e8f8e55608649f833fa,a525508dcf3378cd4049ad22fb37eecc563c2a48,30,NA,,UNKNOWN,HISPANIC,MALE,Simple Assault,Simple Assault,209,2D,397200,137000,38.901,-77.032,209,2D,397200,137000,38.901,-77.032
Adult Arrest,2021,1/1/21,5,15189cb248e11e028e34f5527ffbf976d1bc2fef,0c320ef12f85357225c0caa5b15cca9d8161184c,37,NA,,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,304,3D,397900,139700,38.925,-77.024,304,3D,397900,139700,38.925,-77.024
Adult Arrest,2021,1/1/21,5,15189cb248e11e028e34f5527ffbf976d1bc2fef,16b2e6bc5a3d025f11e2b324acac1b9db24d7f71,66,304,3D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,304,3D,397900,139700,38.925,-77.024,304,3D,397900,139700,38.925,-77.024
Adult Arrest,2021,1/1/21,5,47131a2c3802597e4a5cc9ed8ac0171848bd26aa,04e9d5d11b1a2e2da65355684317db788b28aaaa,27,507,5D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,507,5D,402300,137500,38.905,-76.973,507,5D,402300,137500,38.905,-76.973
Adult Arrest,2021,1/1/21,5,b140bf45c997418b74d34be134090fe6156a16d7,bb95c31e552246da2bd9dcb79e69dbf7dc13d974,27,504,5D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property Less Than $1000,608,6D,407600,136100,38.893,-76.913,608,6D,407600,136100,38.893,-76.913
Adult Arrest,2021,1/1/21,6,6a1c3ba23580e07d19f49f7c9fd7db50703d8e5a,9d3226298ca4cbd703ef1ab8ed5843bccf9e5387,45,NA,,WHITE,NOT HISPANIC,FEMALE,Sex Offenses,First Degree Child Sex Abuse (rape),608,6D,406100,136900,38.9,-76.93,607,6D,402200,133900,38.873,-76.975
Adult Arrest,2021,1/1/21,7,68c50e9537f32a79e79346e7df842179ca8a4991,28e49b9d8c44293311c617d1c8170e046c1b35aa,42,NA,,BLACK,NOT HISPANIC,FEMALE,Traffic Violations,No Permit,602,6D,406200,136800,38.899,-76.928,602,6D,406000,136700,38.898,-76.931
Adult Arrest,2021,1/1/21,7,b7c46b0688245dad8d29799e6e6e46725ddb4e37,54993a75f0b34a3b7717c04f5e6f0227c7f7fe21,49,701,7D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),701,7D,NA,NA,NA,NA,603,6D,404700,135100,38.884,-76.946
Adult Arrest,2021,1/1/21,8,e2d2887c9de28077823b3f09578d5f70454d317f,1aee725adcb309810ac8d2d7a040714ab43c8e06,34,703,7D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),206,2D,394200,138700,38.916,-77.067,206,2D,394200,138700,38.916,-77.067
Adult Arrest,2021,1/1/21,9,fab300f701003049d333b6d6ed2f2e4282423c5a,240058605aa52dab55e951dcf89b97ae19a4cd60,28,704,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,702,7D,401600,132100,38.857,-76.981,702,7D,401600,132100,38.857,-76.981
Adult Arrest,2021,1/1/21,9,8819000d17919d09f5b9637a8dad624a1b776a8f,7c6a51b50b6986034260bd6a75888ce4b3c09db9,40,304,3D,UNKNOWN,HISPANIC,MALE,Theft,Theft Second Degree (theft From Building),408,4D,397100,140900,38.936,-77.033,404,4D,397300,141300,38.94,-77.031
Adult Arrest,2021,1/1/21,9,2295233832959db9ae202348aa42a38daa9802a5,28c88374be5effcb7b6a9a11cd0770135a4edff4,34,608,6D,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,701,7D,400800,133300,38.867,-76.99,701,7D,400000,132800,38.867,-76.99
Adult Arrest,2021,1/1/21,10,5478b57e904512743b4edcc63f952a774822b81d,776b22409af043d4ffee4e8b7898a0276b295dd2,31,503,5D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,504,5D,400800,140800,38.935,-76.991,504,5D,400800,140800,38.935,-76.991
Adult Arrest,2021,1/1/21,10,4f53ad01e6c5d22fb8b72d87172ddf9f263f2427,86f8d10a3abcfaf4ca7820e9a8a159781482c9f2,26,NA,,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,305,3D,398100,139200,38.921,-77.022,305,3D,398100,139200,38.921,-77.022
Adult Arrest,2021,1/1/21,11,dc82a482d267bbc9ea2c4965111869eb88c98592,79b5a126c1569b8cfcd33c7273f46d470d6d27ec,18,603,6D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property Less Than $1000,603,6D,405200,135900,38.891,-76.94,603,6D,405200,135900,38.891,-76.94
Adult Arrest,2021,1/1/21,11,2eff1a4b77fb642b8c8e4551440e0d880fc7f16b,5d5a26c4d1bae8d596b2744131341bd464e923f2,31,NA,,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,705,7D,400200,130000,38.838,-76.998,705,7D,400200,130000,38.838,-76.998
Adult Arrest,2021,1/1/21,11,662e73378d49b68555621141b6f5e1ecc66915da,fcb2321eca1592faf948f481f86463138ee52a5f,29,401,4D,ASIAN,HISPANIC,MALE,Simple Assault,Simple Assault,402,4D,397700,144600,38.97,-77.027,402,4D,397700,144600,38.97,-77.027
Adult Arrest,2021,1/1/21,14,a062cdc6829c21f3671714597b4b0435b293cfc2,0f4174ec97662ddda250910125513af9942dade0,71,NA,,WHITE,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,107,1D,401200,135100,38.884,-76.986,107,1D,401200,135100,38.884,-76.986
Adult Arrest,2021,1/1/21,15,493bf6922d9d4eb656e65de60c399bf7f55ac707,fb6b265532b73e9921dc4f143207ca10dc7cf567,54,704,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,704,7D,401600,130800,38.845,-76.981,704,7D,401600,130800,38.845,-76.981
Adult Arrest,2021,1/1/21,15,8974c729d2bb367e2e39da5875d58c2bb1a05642,be8081492512f60ec96f56b687cebebc28ed4c1f,29,NA,,BLACK,NOT HISPANIC,MALE,Property Crimes,Unauthorized Use Of A Vehicle,308,3D,399200,137800,38.908,-77.009,308,3D,399200,137800,38.908,-77.009
Adult Arrest,2021,1/1/21,15,265d777ee895ae1b155206024a955b0614833958,49a068f94bd0422019c27860fc9af55c524f21f6,23,607,6D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,101,1D,398100,136800,38.899,-77.022,101,1D,398100,136800,38.899,-77.022
Adult Arrest,2021,1/1/21,15,7ec6db35a6eb1aa8c941c300f1d0e21231febe94,058465d59e3b07f69b574f8d75febc3b7dcc2390,23,NA,,ASIAN,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,106,1D,401200,134700,38.88,-76.987,106,1D,401200,134700,38.88,-76.987
Adult Arrest,2021,1/1/21,16,5b3fda753f8891eb02cc5b4a534de8220a5d3bea,46632fbcd8cf5f7a0a2562e8acbb9e0b0ad2c1dc,29,NA,,WHITE,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,501,5D,399500,137600,38.906,-77.006,501,5D,399500,137600,38.906,-77.006
Adult Arrest,2021,1/1/21,16,79cf3fd61e216033790d9b68c868a4372b581427,90e809af24a9827bba0b07b5eec645efe20a5e1f,61,NA,,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,602,6D,406300,137600,38.906,-76.927,602,6D,406300,137600,38.906,-76.927
Adult Arrest,2021,1/1/21,16,3e250534f4f8bfd832cf28c93b5190c14a836cb0,c69f153bc9406eab05ce94bbe9012580922bb68a,38,704,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,207,2D,395600,137100,38.902,-77.05,207,2D,395600,137100,38.902,-77.05
Adult Arrest,2021,1/1/21,17,9d1c2803555f389dc92a67cc63c08ac046c09150,5440374e1345f4ba34cac09ee32c9500e3056009,41,NA,,BLACK,UNKNOWN,MALE,Narcotics,Poss W/i To Dist A Controlled Substance,703,7D,401300,131800,38.854,-76.985,704,7D,401600,130800,38.845,-76.981
Adult Arrest,2021,1/1/21,17,b4ec27c5d94d31d23cccc556db5c5b747c5cd77a,641e671658bdfc5ce06762148817cfe3d66c8f79,42,503,5D,BLACK,UNKNOWN,FEMALE,Driving/Boating While Intoxicated,Driving Under The Influence-3rd Or Subsequent Offense,603,6D,403700,135200,38.885,-76.957,603,6D,403700,135200,38.885,-76.957
Adult Arrest,2021,1/1/21,18,7acf10b0e258031d17600f4ae4510b33a913c379,e179630dc90399e6685fbc81dbe1be1d67264dc7,22,605,6D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,605,6D,402400,134100,38.875,-76.972,605,6D,402600,134100,38.875,-76.969
Adult Arrest,2021,1/1/21,18,bf33dea2393d061dbaa1ee8292632724e7770cd9,eada5740f4d6eb295b08bbed78020dbbd6b5ac93,34,707,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,707,7D,399800,130300,38.841,-77.002,707,7D,399800,130300,38.841,-77.002
Adult Arrest,2021,1/1/21,19,91b7ac27a0438440e38ed2b4fd8147985596dbb2,3e755230dcf13426bd86ae186536124a8a9be13c,38,707,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic (misd),606,6D,404500,132800,38.863,-76.948,606,6D,404500,132800,38.863,-76.948
Adult Arrest,2021,1/1/21,20,5df4428ae2186bb10840f7ed6d2c986254f7c2d2,f03c116affa22fc07ae289b571fd25846fcc5bb3,22,605,6D,UNKNOWN,UNKNOWN,FEMALE,Simple Assault,Simple Assault,605,6D,NA,NA,NA,NA,605,6D,404900,133200,38.867,-76.943
Adult Arrest,2021,1/1/21,20,5df4428ae2186bb10840f7ed6d2c986254f7c2d2,292ba54532eebd45b86dd85ea1eb3cab713d473f,21,704,7D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,605,6D,NA,NA,NA,NA,605,6D,404900,133200,38.867,-76.943
Adult Arrest,2021,1/1/21,20,27e42e653ccd8084f7919b4a33c9f6fa8b00db2e,570f2e82765f9596ca1acaa4cd03119b490c1f6d,50,602,6D,BLACK,NOT HISPANIC,FEMALE,Damage to Property,Destruction Of Property Less Than $1000,608,6D,406700,137300,38.903,-76.923,608,6D,406700,137300,38.903,-76.923
Adult Arrest,2021,1/1/21,20,c14d2e65e05f6a5970bd0ff0e51b271e36c825ae,5214d363c00c5bd74009e3065fc65eb44d2ad415,46,402,4D,WHITE,HISPANIC,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,407,4D,398800,141600,38.942,-77.014,402,4D,397100,144100,38.964,-77.034
Adult Arrest,2021,1/1/21,20,2b9630b17c1a5c877fc7f27ea2486161b9704e75,250aa68ee64156a29cb3bca5e8b7f396a7520beb,52,207,2D,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,102,1D,399400,136700,38.898,-77.007,102,1D,399400,136700,38.898,-77.007
Adult Arrest,2021,1/1/21,21,0d6806d16edce3db10ca7b4448c88b51e5503735,3ad5cc33dc21a6433c903d9ce4422b5a98e4bb84,41,307,3D,UNKNOWN,HISPANIC,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,304,3D,397100,139200,38.921,-77.033,304,3D,397100,139200,38.921,-77.033
Adult Arrest,2021,1/1/21,22,6ed79d62a572c90279adfd317c6c3a1bf103e350,7c3d61a4d7e152dc5dfb8fcfa2e0a11e1b07cdac,53,NA,,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,707,7D,399500,129600,38.834,-77.006,707,7D,399500,129600,38.834,-77.006
Adult Arrest,2021,1/1/21,22,c819865ea3458941ba32a9e79356253f5d8aa358,ada3254b9d73e8ebdd106879a86cf7964ff789f0,37,NA,,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,506,5D,401300,138000,38.91,-76.985,506,5D,401300,138000,38.91,-76.985
Adult Arrest,2021,1/1/21,22,1168e0ba401990c1010ea48bf8a462696d939b88,7ef674885018e411400c730e202720d89e6542a2,57,NA,,BLACK,UNKNOWN,MALE,Theft,Shoplifting,307,3D,398100,137900,38.909,-77.022,307,3D,398100,137900,38.909,-77.022
Adult Arrest,2021,1/1/21,22,c439205933c124ecd00f55835e8483d96531dbb0,e292a2e50def275a8ceb2c2ae3cd5f8d4f14893a,30,602,6D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Fug),Parole Violation (Warrant),506,5D,401300,138000,38.91,-76.985,506,5D,401300,138000,38.91,-76.985
Adult Arrest,2021,1/1/21,23,1cb6c5d6c5204a160ac15659a095f7545ce4abaa,a576048e58f830907b13e108184ec8aa604f3e0c,65,608,6D,BLACK,UNKNOWN,MALE,Simple Assault,Threat To Kidnap Or Injure A Person,608,6D,406600,137300,38.903,-76.924,608,6D,406600,137300,38.903,-76.924
Adult Arrest,2021,1/1/21,23,1ffdeacd103496be6d9af719664c1b3109f21da5,c670ec4e3db6a39dd2b067c11b6dad04c82122eb,33,NA,,BLACK,NOT HISPANIC,MALE,Offenses Against Family & Children,Contempt Of Cpo/tpo,705,7D,401000,130700,38.844,-76.989,705,7D,401000,130700,38.844,-76.989
Adult Arrest,2021,1/10/21,0,6da6a947d53c50db31e18395d562b0697681f92a,f3330cb40c48551c448a313bdbbc416d1cb26b12,31,NA,,BLACK,NOT HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,604,6D,405900,134500,38.878,-76.932,604,6D,406000,134500,38.878,-76.931
Adult Arrest,2021,1/10/21,0,e57663053f5b9dd8b6ba63e56065e284ac4ce6ca,57d1887ead30a83fc37a4276f23076c42e518271,64,602,6D,BLACK,UNKNOWN,MALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,604,6D,405200,135200,38.885,-76.941,604,6D,405200,135200,38.885,-76.941
Adult Arrest,2021,1/10/21,0,35971398c75d528f54d270b16959c6bf0be08bf2,09f3380c73a75795de8a536aa47b95a8152c6af0,43,NA,,BLACK,NOT HISPANIC,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,601,6D,405000,137300,38.904,-76.943,601,6D,405000,137300,38.904,-76.943
Adult Arrest,2021,1/10/21,0,6e8e425ed7935269a40c385128bdb8948731cb6e,c544ac438789fa3e495f09b6a6669919ab53cdd7,26,NA,,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property Less Than $1000,603,6D,404200,136200,38.894,-76.951,603,6D,404200,136200,38.894,-76.951
Adult Arrest,2021,1/10/21,2,5fdc530d32235bcba651602dcfb7dcc35881be5a,61f96b2e24aff2570bbb4ee000d6f6468408e471,28,101,1D,WHITE,NOT HISPANIC,MALE,Simple Assault,Simple Assault,101,1D,398500,137300,38.903,-77.017,101,1D,398500,137300,38.903,-77.017
Adult Arrest,2021,1/10/21,2,6656a4984456a33429a0ab6f785732006a845553,8ba19ca9df869a087ee9564bf5a495cca54445e8,35,103,1D,BLACK,NOT HISPANIC,MALE,Liquor Law Violations,Possession Of An Open Container Of Alcohol (poca),407,4D,398900,141700,38.944,-77.013,407,4D,398900,141700,38.944,-77.013
Adult Arrest,2021,1/10/21,3,1706b66596590b4b2602dbea08698bc4d124c720,3b2e973bb6a8aad32f63379a9c6317510a76ffba,25,701,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,108,1D,402300,135800,38.89,-76.973,108,1D,402300,135800,38.89,-76.973
Adult Arrest,2021,1/10/21,3,f50702046ed785d77382988256036d6e7c1e9af8,ede9b9f24a8cd789e2dd25420797c461f0ab64b3,45,104,1D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,104,1D,401200,136600,38.898,-76.986,104,1D,401200,136600,38.898,-76.986
Adult Arrest,2021,1/10/21,3,b48e79bd6b391068298333a8444de9a1df12c459,fe94178931198ae1f44c0337e6e064b25eba60c6,43,404,4D,BLACK,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,101,1D,398700,137200,38.903,-77.015,101,1D,398700,137200,38.903,-77.015
Adult Arrest,2021,1/10/21,7,30a376d5e20d7ccbd9da42558955202c0bb8e6dd,7c76cb5f41d41acf0423890db8cca7913c6cf6b8,29,701,7D,BLACK,UNKNOWN,FEMALE,Driving/Boating While Intoxicated,Driving Under Influence-1st Off,103,1D,397500,135500,38.887,-77.029,103,1D,397500,135500,38.887,-77.029
Adult Arrest,2021,1/10/21,8,dfc0989d1ed5f47b1f4275ae180291918c273605,2cf71b795dd91e2f7791747b7d116d4a1fd0bce2,29,601,6D,BLACK,NOT HISPANIC,FEMALE,Damage to Property,Destruction Of Property Less Than $1000,601,6D,404500,137300,38.904,-76.948,601,6D,404500,137300,38.904,-76.948
Adult Arrest,2021,1/10/21,8,e3abb4ec0c0ff3691c7b50fbfc4f834b8273c3bc,384a4afdf7eb3a7103c8f8951537534677deabac,27,505,5D,BLACK,UNKNOWN,FEMALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,505,5D,400400,139200,38.921,-76.995,505,5D,400400,139200,38.921,-76.995
Adult Arrest,2021,1/10/21,10,cd995db896c9531b4352e17a970cdcafdbd5b01b,5169407c73832f767b0533608cfdb26de30e0fc9,34,604,6D,BLACK,NOT HISPANIC,MALE,Traffic Violations,No Permit,604,6D,405500,135500,38.888,-76.936,604,6D,405500,135500,38.887,-76.936
Adult Arrest,2021,1/10/21,11,abb41a523f2f52c39bdc8089afa84fe2d6617354,98686e0692e1acd860d04ec2814887c408506213,35,506,5D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,602,6D,406300,137600,38.906,-76.927,602,6D,406300,137600,38.906,-76.927
Adult Arrest,2021,1/10/21,11,168ab0b748593911eee70a1d15fda12f9daaf216,2d0f433bf2baa1584da513178e49b7485a1c9df4,30,406,4D,WHITE,HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm,302,3D,397400,140300,38.931,-77.03,302,3D,397100,140300,38.93,-77.033
Adult Arrest,2021,1/10/21,12,cbf740f1bb8bb5275f45cbcd3a3182a91e607445,e3a83833deb5f0f9588a3e278a39462735d15f6f,24,NA,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,707,7D,399300,129400,38.832,-77.008,707,7D,399300,129400,38.832,-77.008
Adult Arrest,2021,1/10/21,12,82053a45ba681599f96022fbf4f5aa9f543ebfd0,e8b94643889dac42bd7f0b97cb13c9276ac61d9f,42,604,6D,BLACK,NOT HISPANIC,FEMALE,Traffic Violations,Counterfeit Tags,206,2D,394900,137100,38.902,-77.059,206,2D,394900,137100,38.902,-77.059
Adult Arrest,2021,1/10/21,12,4e08ef26028195dc5ca310fc1a74da7b5d87792c,acd9f6c00584cae1e957624b2dc6437d11b33829,42,704,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,302,3D,396800,140200,38.929,-77.037,302,3D,396700,140200,38.93,-77.038
Adult Arrest,2021,1/10/21,13,6506d25a43e21b7d9ef89f32b4203c33aaa518e3,11e7f50c4f478cdf3858179f81d197b2417fabdb,34,404,4D,WHITE,HISPANIC,MALE,Simple Assault,Simple Assault,404,4D,397000,141200,38.938,-77.034,404,4D,397000,141200,38.938,-77.034
Adult Arrest,2021,1/10/21,14,469b2bf54e64ea13931d62538c546bdd7d261c15,3911f09783793a2978593bd4611816ccf36769b3,26,NA,,BLACK,NOT HISPANIC,FEMALE,Release Violations/Fugitive (Warr),Fugitive From Justice,108,1D,402100,135800,38.89,-76.976,108,1D,402100,135800,38.89,-76.976
Adult Arrest,2021,1/10/21,14,3fb231e954208942b277228ca17462b89d40179e,dc87ac724ea6853721d1bae8278dd063e0b372de,51,102,1D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property $1000 Or More,706,7D,401400,129800,38.836,-76.984,706,7D,401400,129800,38.836,-76.984
Adult Arrest,2021,1/10/21,16,80c5787bbecfb4898ae7b63b8f7674e06c555591,26e50cc92921b0fbe69033f481ba0b9dc821d37b,29,101,1D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property Less Than $1000,101,1D,398900,136500,38.896,-77.013,102,1D,398800,136400,38.895,-77.013
Adult Arrest,2021,1/10/21,16,f1826d4598f855ee1b9d3aeb4fdbe9f492b9792b,12f08ba04e895fb2254e9892f3483d7a7fc61df2,39,106,1D,WHITE,NOT HISPANIC,MALE,Traffic Violations,Leaving After Colliding- Property Damage,106,1D,399900,134100,38.874,-77.001,106,1D,399900,134200,38.875,-77.001
