Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult Arrest,2021,1/1/21,0,13ed39c95c0a35628320846e77c8c27a09a0a514,f8353d92e040f864cde12f32ec705e3f863deb43,38,302,3D,BLACK,UNKNOWN,MALE,Damage to Property,Destruction Of Property Less Than $1000,405,4D,399500,140000,38.927,-77.006,405,4D,399500,140000,38.927,-77.006
Adult Arrest,2021,1/1/21,0,42865053e1a3136b1ac5bcf622dbd0dcfb8f7449,8266f3c825b354b34cefe4aa8c5a3951b8b6240b,31,407,4D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,304,3D,397100,139700,38.925,-77.033,304,3D,397100,139700,38.925,-77.033
Adult Arrest,2021,1/1/21,0,fb33f6c8e279ef8850839ca110b6d3759f5ccc00,b5736fa186c6acbb94ce1b4ea4f43760013a67d0,35,NA,,BLACK,NOT HISPANIC,MALE,Weapon Violations,Felon In Possession,603,6D,403900,135900,38.891,-76.955,608,6D,406100,136900,38.9,-76.93
Adult Arrest,2021,1/1/21,0,5f2f0c085f57f3836212ad6424f397e2ae51eea8,74774e04d8d7837991db1bafba1a5f92b7559823,31,NA,,BLACK,NOT HISPANIC,MALE,Weapon Violations,CPWOL Outside Home or Business in violation of 2nd Emergency Act of 2014 Act 20-0564,704,7D,402100,131200,38.849,-76.976,704,7D,402100,131200,38.849,-76.976
Adult Arrest,2021,1/1/21,0,fa7eaa8754156268b411df064ee8b4c448e31431,deaccbf4e74fad9f71c098517006a36c28d638db,21,602,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,604,6D,406500,134900,38.882,-76.925,604,6D,406500,134900,38.882,-76.925
Adult Arrest,2021,1/1/21,1,8fbead8ee55547d3e1c9551752e66d36035b0ca7,26f53539ecd145c637a803806b06965dbce176ca,19,705,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carry Pistol W/o Lic -outside Home/business,304,3D,397700,139300,38.922,-77.027,304,3D,397700,139300,38.922,-77.027
Adult Arrest,2021,1/1/21,1,ee55c81d1e54b29f76c2359d917d109d5d372aa4,d0d9bf922d257290a1c2b0892dad4ec66d0d816e,63,604,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,604,6D,405300,135000,38.883,-76.939,604,6D,405300,135000,38.883,-76.939
Adult Arrest,2021,1/1/21,1,c442638b4ac654d601b0b76e519f2c7a60d885cb,f5b6351b55b460881545d2a58ff21265cbb41501,28,703,7D,BLACK,NOT HISPANIC,MALE,Narcotics,Poss W/i To Dist Marijuana-misd,702,7D,402300,132200,38.857,-76.974,702,7D,402300,132200,38.857,-76.974
Adult Arrest,2021,1/1/21,1,4d0e8547ffbce24f1d532d55f7caa64de671b2e4,858e2cf55e13751c4843e9718e5bf2d4a3e52463,19,NA,,WHITE,HISPANIC,MALE,Damage to Property,Destruction Of Property Less Than $1000,NA,,NA,NA,NA,NA,404,4D,397700,141900,38.945,-77.027
Adult Arrest,2021,1/1/21,1,933c54eab001a5e404a09c7e1981f7d5d5aeae54,1bf94f6fb55f6fdfd107a195c90123c3d1301c14,20,NA,,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,503,5D,403300,139700,38.925,-76.961,503,5D,403300,139700,38.925,-76.961
