Arrestee Type,Arrest Year,Arrest Date,Arrest Hour,CCN,Arrest Number#,Age,Defendant PSA,Defendant District,Defendant Race,Defendant Ethnicity,Defendant Sex,Arrest Category,Charge Description,Arrest Location PSA,Arrest Location District,Arrest Block GEOX,Arrest Block GEOY,Arrest Latitude,Arrest Longitude,Offense Location PSA,Offense Location District,Offense Block GEOX,Offense Block GEOY,Offense Latitude,Offense Longitude
Adult Arrest,2022,1/2/22,21,d8ec9009ddc6c689b5953d2a83b3f7e83f41cfaa,b8fe867e3640fd99a24cabb8103dd216060b88fb,30,706,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Threats To Do Bodily Harm -misd,305,3D,397900,138700,38.916,-77.024,305,3D,397900,138700,38.916,-77.024
Adult Arrest,2022,1/2/22,22,25c88cd93295e995c1e36a2ef8367142d2d35f5f,a4ee17bbf93eb4af11c54ca815c2c42261a43ccc,36,701,7D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Unlawful Possession Of A Firearm (prior Conviction),502,5D,400200,139900,38.927,-76.997,502,5D,400200,139900,38.927,-76.997
Adult Arrest,2022,1/2/22,22,b19d2b9c106dec9020f918803365dc7a583b10f0,fbc36b02eda6fd025d167f96edf94cfd6a82545f,26,NA,NA,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,408,4D,397600,140900,38.936,-77.028,408,4D,397600,140900,38.936,-77.028
Adult Arrest,2022,1/2/22,22,f6d3b3abe71653449890b3daa6fa132cd794c685,ee09dba1d58e61c38432d8b8d8ac810609ed5af4,23,505,5D,OTHER,HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),404,4D,397100,141200,38.939,-77.033,404,4D,397100,141200,38.939,-77.033
Adult Arrest,2022,1/2/22,23,59ca980d94606bb1a35e467c2380bab2aa85251a,15c0ea6458b37d3ce69c76acdea86a725ca8a61f,18,708,7D,BLACK,NOT HISPANIC,MALE,Traffic Violations,Leaving After Colliding- Property Damage,708,7D,399500,128200,38.821,-77.006,708,7D,399200,128200,38.822,-77.009
Adult Arrest,2022,1/2/22,23,6a8e294993cf194f494fb57c8a5ffe3340958197,60233e1fd8b5d0f69ac1cf708a2b363b3f86e648,33,NA,NA,BLACK,NOT HISPANIC,MALE,Traffic Violations,Leaving After Colliding - Personal Injury,306,3D,398200,138600,38.915,-77.02,306,3D,398200,138600,38.915,-77.02
Adult Arrest,2022,1/3/22,1,7c39358998009ed1a5f464680ea1a8c0b458393e,ff96947a3b7adb4bfe5f1a0cd63a3f39a94f0bf9,28,NA,NA,ASIAN,UNKNOWN,MALE,Other Crimes,Unlawful Entry,503,5D,402400,139100,38.92,-76.972,503,5D,402400,139100,38.92,-76.972
Adult Arrest,2022,1/3/22,2,a73ea19c31e74f0a9a80704d21cb4da1648a88c6,928ffca8351167b45227885f25a9d43603b04ca9,34,703,7D,BLACK,NOT HISPANIC,MALE,Damage to Property,Destruction Of Property - Misd,703,7D,400700,132000,38.855,-76.992,703,7D,400700,132000,38.855,-76.992
Adult Arrest,2022,1/3/22,2,015f707c543c685ffda6f245eacbdd25008537d4,6380dd2ef542430e7b11a5b4d982cd39b98c1257,42,NA,NA,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,501,5D,400200,138100,38.911,-76.997,501,5D,400200,138100,38.911,-76.997
Adult Arrest,2022,1/3/22,2,2c770bbf54b037562ba3c5d9b7bea4bf90b99928,f78985e78275d7c25ecbfd2fdae06854aede7ca7,39,NA,NA,WHITE,HISPANIC,MALE,Driving/Boating While Intoxicated,Driving Under The Influence Of Alcohol Or Drugs,602,6D,406100,137800,38.908,-76.929,602,6D,406100,137800,38.908,-76.929
Adult Arrest,2022,1/3/22,3,9319ba63e0ca5e05a7a931fe74f8a8b098c0b6d9,60d697c079caafda83aee89d033f2d900a1801a4,45,NA,NA,BLACK,NOT HISPANIC,MALE,Aggravated Assault,Aggravated Assault Knowingly,505,5D,402200,139100,38.92,-76.975,505,5D,402200,139100,38.92,-76.975
Adult Arrest,2022,1/3/22,3,e2ed7b45646c76c46e9a05babac45500c574aec4,a3909ccbaf612c5cd55afec55d9eb749bd244fe7,55,506,5D,BLACK,UNKNOWN,MALE,Sex Offenses,Sex Abuse- Misd,506,5D,401200,138600,38.915,-76.986,506,5D,401200,138600,38.915,-76.986
Adult Arrest,2022,1/3/22,4,a27c2e3d15d95c6aeefa55241961e34dafb22a90,ae82895ce0976e18b9fffeb6f488a4c942010177,31,NA,NA,BLACK,NOT HISPANIC,MALE,Assault with a Dangerous Weapon,Assault With A Dangerous Weapon,402,4D,397400,143800,38.962,-77.029,402,4D,397400,143800,38.962,-77.029
Adult Arrest,2022,1/3/22,4,6cbe2e502cebfd84045118cead8115c4fe7c84dc,af74f3168d422d7d5ef4ed3a738d64d5fe1f6b9d,26,604,6D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,603,6D,403700,135300,38.886,-76.957,603,6D,403700,135300,38.886,-76.957
Adult Arrest,2022,1/3/22,6,2c0c513094705d59ad3bcfcd1b0002983e5ea45e,e92828ab0fe1a02908175362ece7252c4b9afb76,23,703,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,707,7D,399500,130000,38.838,-77.006,707,7D,399500,130000,38.838,-77.006
Adult Arrest,2022,1/3/22,7,a8aa4190c25ad91f9b4693e64f3e368d6262bdfb,6bd0e1ef5e5ce04cd1887b4d2129ccd176d0ed89,26,706,7D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,107,1D,402000,135100,38.883,-76.976,107,1D,402000,135100,38.883,-76.976
Adult Arrest,2022,1/3/22,7,be1cedd1a37a50f96f7a9f4eb28b66baffde6cae,f5f7fa7ce3696e941f5d95aa42c5c9be79e5e263,37,607,6D,BLACK,NOT HISPANIC,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,107,1D,402000,135100,38.883,-76.976,107,1D,402000,135100,38.883,-76.976
Adult Arrest,2022,1/3/22,8,578b38d91f0238a40d64ca2e46d83bfb6407af18,f93693eb1c2157e061c238450db3e375054f02c1,19,308,3D,BLACK,UNKNOWN,MALE,Offenses Against Family & Children,Contempt Of Cpo/tpo,106,1D,400800,134500,38.878,-76.99,106,1D,400800,134500,38.878,-76.99
Adult Arrest,2022,1/3/22,11,05faa7bdd3782f6a316ded345aff8113c2baaea2,812778894e42f3fafa1f6d81a1bd4b186b001cab,31,103,1D,BLACK,UNKNOWN,MALE,Simple Assault,Simple Assault,406,4D,399300,144100,38.965,-77.008,406,4D,399300,144100,38.965,-77.008
Adult Arrest,2022,1/3/22,12,ce47f70ebeb0c7e5464fb62f42f45cbfdb5b982a,f0dcb382620038ac18e386aed6e3d3cc80099966,27,702,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,607,6D,402300,133100,38.865,-76.974,607,6D,402300,133100,38.865,-76.974
Adult Arrest,2022,1/3/22,12,ce47f70ebeb0c7e5464fb62f42f45cbfdb5b982a,16dd70888ebbcc80c12289b9ad467dcfa40cc522,24,607,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,607,6D,402300,133100,38.865,-76.974,607,6D,402300,133100,38.865,-76.974
Adult Arrest,2022,1/3/22,16,88d8f7bb28b6263b24c71add2a3a2e613d92b812,975d487c92d0d9c9eb7d4134f460272d12dae824,42,NA,NA,BLACK,NOT HISPANIC,MALE,Homicide,Murder II,608,6D,1239900,416200,41,-67.003,608,6D,406800,136500,38.897,-76.922
Adult Arrest,2022,1/3/22,17,d113cca9dd9617d3d14312c8a57887840b4f1e37,66b9523792e736a0124ae6f2aa4c4ad15ca0da52,32,701,7D,BLACK,NOT HISPANIC,MALE,Theft,Theft Second Degree (all Other Larceny),507,5D,401800,137000,38.901,-76.98,507,5D,401800,137000,38.901,-76.98
Adult Arrest,2022,1/3/22,17,75248a464a0724d9a2f9374dd35f69660ba8ae87,a9754014e0c097066bbbbe138268aa9fe5fb1c7f,44,708,7D,BLACK,NOT HISPANIC,MALE,Other Crimes,Unlawful Entry,708,7D,399100,128300,38.822,-77.01,708,7D,399100,128300,38.822,-77.01
Adult Arrest,2022,1/3/22,17,0ded593cdd8f4f8b1748adc5726e0693a770b047,a9f05ab2a4381a6ada449a16a031a518f37236af,21,604,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,604,6D,405500,135100,38.884,-76.937,604,6D,405500,135100,38.884,-76.937
Adult Arrest,2022,1/3/22,18,7b64a259ee25a92fe92ba143667fe9d0d7dec59e,91aef7a774a15fd7bea50721c1d395f7aae3ad7e,70,408,4D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Poss Prohibited Weapon -other,404,4D,397800,141500,38.941,-77.026,404,4D,397800,141500,38.941,-77.026
Adult Arrest,2022,1/3/22,19,1be06be2fe5d62bda8e73620e2238e58424285b4,441a47e4e01d09a00be9bda1477f691833591e94,19,604,6D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,703,7D,400500,132700,38.862,-76.994,703,7D,400500,132700,38.862,-76.994
Adult Arrest,2022,1/3/22,23,47337780f8542743b22ddb819efc596cd12b84ea,b3995b21a3bd68b2eeb08b9019362e1c1e4a9af6,33,403,4D,WHITE,HISPANIC,MALE,Simple Assault,Simple Assault,403,4D,397200,143700,38.961,-77.032,403,4D,397200,143700,38.961,-77.032
Adult Arrest,2022,1/4/22,1,0ee3888e740986dd7f6228addebb6c4b3ddc685a,a5930968c8c6be81b5de90e0c2bf6c3f474be651,27,701,7D,BLACK,UNKNOWN,FEMALE,Simple Assault,Simple Assault,703,7D,400700,132100,38.857,-76.992,703,7D,400700,132100,38.857,-76.992
Adult Arrest,2022,1/4/22,5,f4911123454b3d493573e1aa1c185a005055130f,e98d2d900de821df965538b0f5f1691e3715d1e2,50,602,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,602,6D,405900,137700,38.907,-76.931,602,6D,405900,137700,38.907,-76.931
Adult Arrest,2022,1/4/22,7,9891ea4924d66a399a8e6f8be624343d4f7a94b2,18a79abaa505b6ae1caffebd7a9e2384d35f4141,36,601,6D,BLACK,UNKNOWN,MALE,Release Violations/Fugitive (Warr),Failure To Appear (USAO),601,6D,404600,137300,38.903,-76.947,102,1D,398400,136200,38.894,-77.019
Adult Arrest,2022,1/4/22,7,85ed5f36d8f0c20b496fc6f2ad44b4d9b3e7bc21,99d53278e57a48ad7ffe86b07e20cba50f30cea0,36,505,5D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,505,5D,401700,139100,38.92,-76.981,505,5D,401700,139100,38.92,-76.981
Adult Arrest,2022,1/4/22,8,32e15dd088945986331fa72e4a1dfdcef0ca13ca,8a9a665055fa5d0a362c6c9fccb38f59084b2d86,41,602,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,703,7D,401100,132000,38.856,-76.987,703,7D,401100,132000,38.856,-76.987
Adult Arrest,2022,1/4/22,11,565b94629a081855ece22b1113d0df883ccb2087,6c9368a247e12c5dbefa819eb45615e9370ee831,34,603,6D,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,603,6D,404600,135200,38.884,-76.947,603,6D,404600,135200,38.884,-76.947
Adult Arrest,2022,1/4/22,12,e2a5867a344c2f11ff78a5360ea21dc3285983de,aa9e75e838b8bc27b64078da82d59015b5a1ef53,56,603,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,603,6D,404300,135200,38.885,-76.95,603,6D,404300,135200,38.884,-76.951
Adult Arrest,2022,1/4/22,14,0a865d24d0db028b0b1c441c13843439a2e88c0d,e6cea300b20fd71be49f7333d21de5e363c2c449,24,NA,NA,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,NA,,1217800,399300,40.87,-67.285,707,7D,399600,131000,38.847,-77.005
Adult Arrest,2022,1/4/22,15,6413a918a72d2f615b1b99790ad17cfb5e420b56,7e5cc11629f6f3dcdd8b462d1ca2e5a5e29740f7,23,NA,NA,BLACK,UNKNOWN,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,506,5D,402000,138300,38.913,-76.977,506,5D,402000,138300,38.913,-76.977
Adult Arrest,2022,1/4/22,15,f6f9df8e70cb99d5a2ba4521a1951396e4880f5f,c94b23aa69cb27b7059126cae023f3d287d0ca2e,39,NA,NA,WHITE,NOT HISPANIC,FEMALE,Other Crimes,Unlawful Entry,405,4D,398800,140000,38.928,-77.014,405,4D,398800,140000,38.928,-77.014
Adult Arrest,2022,1/4/22,15,47663c8487360675be36fa10d4ad82f62ab520d6,e0f2c9a5afbecf6e3e4e9376105db1997a016dc4,24,603,6D,BLACK,NOT HISPANIC,MALE,Robbery,Robbery,603,6D,403800,135500,38.887,-76.957,507,5D,401600,137000,38.901,-76.982
Adult Arrest,2022,1/4/22,16,a1cf039c6e95968639431496a312dbee3acb73e5,9b0e79b5ce1a71b20d64e00132839a806b331617,34,103,1D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,501,5D,400300,138200,38.911,-76.997,501,5D,400300,138200,38.911,-76.997
Adult Arrest,2022,1/4/22,16,828b85689e5391a55636e147d744fc9e441be7e0,e173805471e16fbc8ed7d3d32b0e0ba72f637e64,29,NA,NA,ASIAN,NOT HISPANIC,MALE,Traffic Violations,"Loaning Registration, Misuse Of Temporary Tags",206,2D,394300,137500,38.905,-77.066,206,2D,394300,137500,38.905,-77.066
Adult Arrest,2022,1/4/22,16,a4c7fb856181ad3f2ff9e2e6713b2fc1dae7d481,10db7789ad920c1fcfaefdca30c92d2b69100857,32,602,6D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,602,6D,405200,136700,38.898,-76.941,602,6D,405200,136700,38.898,-76.941
Adult Arrest,2022,1/4/22,16,724aa8cf6bfe92888dd90c0aad4f6c65350e1fed,68f50b3a0ac467eee03e7c3755301dd7c6080863,42,703,7D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,607,6D,401900,133100,38.866,-76.979,607,6D,401900,133100,38.866,-76.979
Adult Arrest,2022,1/4/22,17,2b677bce11cdcd3a42b976ff4e1ae976facd52b9,60c175429acf4b04c228349fe3bd41b170231084,25,407,4D,BLACK,NOT HISPANIC,MALE,Weapon Violations,Carrying a Pistol Without a License (Outside Home or Place of Business) 2015,308,3D,399200,138300,38.913,-77.009,308,3D,399200,138300,38.913,-77.009
Adult Arrest,2022,1/4/22,17,0b435b33eef3fb07155adc75a484b9c77aa4d9e4,74945874faf9743dbea6b074d0b801ffca13a96d,19,NA,NA,BLACK,NOT HISPANIC,FEMALE,Simple Assault,Simple Assault,507,5D,402000,136800,38.899,-76.977,507,5D,402000,136800,38.899,-76.977
Adult Arrest,2022,1/4/22,18,bace7fe561563d4bd2b1396e38afd5da712011b1,60b6ed3dbdede342cbe2c26da6bf513c75c232fb,29,NA,NA,BLACK,UNKNOWN,MALE,Release Violations/Fugitive (Warr),Fugitive From Justice,707,7D,NA,NA,NA,NA,707,7D,399800,130300,38.841,-77.002
Adult Arrest,2022,1/4/22,21,f1ca05314fb39f94b696be851a1747c9931cdeff,34751a9374ec2ca6b2a02564ef7b9fe79a235705,29,NA,NA,WHITE,HISPANIC,MALE,Release Violations/Fugitive (Warr),Failure To Appear (USAO),505,5D,400600,138700,38.916,-76.993,505,5D,400600,138700,38.916,-76.993
Adult Arrest,2022,1/4/22,21,deabfdc7abe91b73d8f49cf6ee8e68a3b4bd66dc,847dc2236a757bc34070e9f55ee110d47a84780c,33,304,3D,BLACK,NOT HISPANIC,MALE,Simple Assault,Simple Assault,302,3D,396800,140400,38.932,-77.037,302,3D,396800,140400,38.932,-77.037
Adult Arrest,2022,1/4/22,21,45e8b6ee95c7da7be0cacd467babfd9f8304f85b,1ca84b88971164689535f7d1e6d191a7c60bbc82,35,504,5D,BLACK,UNKNOWN,MALE,Other Crimes,Unlawful Entry,307,3D,397300,138400,38.914,-77.031,307,3D,397300,138400,38.914,-77.031
Adult Arrest,2022,1/4/22,23,5bc1e824196e6fbf48f85150b8aab1a121df704e,ec3aa79d6c847cb62089b999dcaf122e045d33b2,24,NA,NA,BLACK,UNKNOWN,MALE,Other Crimes,Unlawful Entry,203,2D,394500,141800,38.944,-77.063,203,2D,394500,141800,38.944,-77.063
